id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1393178,Private Bedroom Yaletown Vancouver,7526525,Isamu,,Downtown,49.27439941747625,-123.12444114680704,Private room,124,90,26,2017-06-26,0.49,2,246
1397291,Bright bedroom in shared condo,7547807,Melanie,,Downtown,49.27970998369221,-123.11962111147804,Private room,60,29,20,2018-05-13,0.56,2,294
1398788,Stunning 1 Bedroom Laneway,7554741,Ruth,,Arbutus Ridge,49.23757162446927,-123.16558476840672,Entire home/apt,75,31,81,2018-08-25,1.31,1,251
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Sandy,,Mount Pleasant,49.26979719602118,-123.11050526978461,Entire home/apt,450,30,8,2018-07-30,0.16,1,177
1417881,3bdrm Renovated Character Home,7499193,Tracey,,Grandview-Woodland,49.26818841705238,-123.06760593392495,Entire home/apt,398,4,35,2018-08-21,0.57,3,332
1418910,Private Room - Commercial Drive,7499193,Tracey,,Grandview-Woodland,49.2646513356065,-123.06995100246925,Private room,89,4,122,2018-09-04,1.99,3,2
1422750,Furnished bedroom in spacious home,7657825,Lidia,,Killarney,49.212882737916914,-123.02664233086516,Private room,71,3,20,2018-08-31,0.38,2,325
1459432,Spacious  Private Suite in Oakridge,7411017,Aaron,,Oakridge,49.232311757977236,-123.13335736247804,Private room,99,2,229,2018-08-20,3.71,1,81
1479325,High-end Luxury in the West End,483861,Pat And Walter,,West End,49.27991649569405,-123.1340290764603,Entire home/apt,109,30,39,2018-08-13,0.97,2,253
1502887,244 1 BED & DEN.WATER VIEW!  3 MONTH EXTENDED STAY,600607,Bruce,,Downtown,49.29128026249293,-123.12783277823446,Entire home/apt,107,60,4,2018-05-25,0.07,41,95
1507975,Modern new room with private entry!,51695,Natasha & Paolo,,Riley Park,49.24653582842797,-123.09270418704465,Private room,64,1,182,2018-08-21,2.95,2,212
1511649,Nice room in Dunbar 20min to DT,5514406,Henry,,Dunbar Southlands,49.238603423692425,-123.18416388641285,Private room,79,3,15,2018-09-02,0.39,3,251
1515799,Clean Room in Quiet Convenient Area,1344421,Jimmy,,Kensington-Cedar Cottage,49.23404988629703,-123.06719613981303,Private room,33,365,102,2018-08-21,1.96,1,54
1525113,"114 Studio ""West of Denman""",600607,Bruce,,West End,49.29184356816085,-123.13892533377968,Entire home/apt,68,32,6,2018-08-10,0.11,41,40
1530460,Funky Room On Vancouver's Hip East,6329283,Ruby,,Kensington-Cedar Cottage,49.255005933253145,-123.07953424007347,Private room,38,30,14,2017-10-31,0.23,4,74
1549394,Riviera Boutique Suites Harbor View,8254058,Pratik Patil,,West End,49.28867902074724,-123.13141417133501,Private room,149,1,1,2013-12-23,0.02,2,4
1600662,"Lovely home in Vancouver, BC",2823176,Michael And Leslie,,Hastings-Sunrise,49.277690173520234,-123.04368693796268,Entire home/apt,124,4,5,2018-07-31,0.24,1,219
1603077,"Views, 1 bdrm and patio, Yaletown.",10507457,Christie,,Downtown,49.2833140640966,-123.11982089457902,Entire home/apt,139,4,113,2018-08-16,1.86,5,18
1604919,Newly Renovated Luxury View 2 brm 2 bath executive,8550324,John,,West End,49.28609620727135,-123.12813376427621,Entire home/apt,300,3,72,2018-08-28,2.04,1,129
1614025,Downtown 1bdrm with amazing views!,3092935,Brad,,Downtown,49.279668256829986,-123.12620203287933,Entire home/apt,120,31,91,2018-08-31,1.52,12,205
1614591,Luxury in the Heart of Downtown,7341876,Sigrid,,Downtown,49.28077212573972,-123.1261920499162,Entire home/apt,145,3,71,2018-08-27,1.30,5,37
1623556,Private Top Floor in hip Main St ,8633501,Robin,,Riley Park,49.25196528264712,-123.09510499625574,Private room,85,1,160,2018-08-24,2.63,1,280
1629480,Garden Suite-Quiet/Private&Central,8660533,Tracy And Richard,,Riley Park,49.251063854396094,-123.10769769256748,Entire home/apt,95,30,114,2018-07-11,2.17,1,295
1646380,"Penthouse suite off ""The Drive""",8736856,Shawn,,Grandview-Woodland,49.27722347836569,-123.06767502605392,Entire home/apt,189,2,0,,,1,344
1657214,Amazing 2000sqft NY style loft Downtown + Parking,8784861,D,,Downtown,49.28042814771776,-123.1101332896007,Entire home/apt,250,90,3,2014-08-07,0.05,1,281
1660055,"Lakeside 3 bdrm house, 6 mo rental",8796977,Diane,,Kensington-Cedar Cottage,49.258916443183274,-123.06568776667021,Entire home/apt,92,180,0,,,1,365
1673329,4 bedrm. home close to downtown,6950520,Verena,,Fairview,49.258093388191945,-123.13257602440386,Entire home/apt,275,7,25,2018-06-26,0.49,1,12
1678196,Two Bedroom Green Couch Townhouse,3058819,Michy+Jon,,Fairview,49.265647873679704,-123.13175020482095,Entire home/apt,150,2,51,2018-09-05,1.00,2,231
1684313,Cozy Modern Garden Suite,8905965,Andrea,,Hastings-Sunrise,49.2862765569676,-123.04446355142795,Entire home/apt,95,30,93,2018-08-25,1.58,1,322
1685893,Riviera Boutique Suites City View,8254058,Pratik Patil,,West End,49.28778627676035,-123.13090792697152,Private room,68,1,3,2015-01-14,0.05,2,4
1703616,Beautiful Kitsilano Apartment..,8993938,James And Jewel,,Fairview,49.26656666557814,-123.14538832209078,Entire home/apt,110,30,0,,,1,345
1707488,Commerial Drive Lg Pvt Main Suite,6109037,Linda,,Grandview-Woodland,49.270374715964955,-123.06827845879882,Entire home/apt,114,2,26,2018-08-13,0.51,1,344
1708827,Garden Oasis at the White House,1796159,Churyl,,Renfrew-Collingwood,49.237186518447224,-123.05810865451652,Entire home/apt,156,30,23,2018-08-29,0.88,2,84
1717967,2 Bedroom Garden Flat - Main Street,9057463,Mary,,Riley Park,49.24821718329874,-123.0982325124216,Entire home/apt,120,3,197,2018-08-30,3.39,1,249
1718688,Funky 1BD apt in trendy Kitsilano!,9061880,Jessica,,Kitsilano,49.266420982143686,-123.1615558998649,Entire home/apt,100,2,20,2018-09-03,1.57,1,0
1722641,Newly renovated studio w/HUGE patio,9081002,Tory & Danni,,Downtown,49.27717224893825,-123.12751805707094,Entire home/apt,99,30,159,2018-08-26,5.22,1,87
1736349,Master bedroom + private bathroom + secure parking,6120439,Kerry,,Kensington-Cedar Cottage,49.25198563657253,-123.07803376112754,Private room,103,2,80,2018-09-03,2.12,2,221
1742662,Modern Executive Laneway Coach Home,8390140,Alan And Ivonne,,Renfrew-Collingwood,49.2464604835126,-123.02874894490961,Entire home/apt,99,4,40,2017-11-30,0.67,1,163
